"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
10,"4",21,"Wednesday",1,0,41.55,20.775,NA,0,1,2,1.1,6.2
10,"5",6,"Thursday",1,0,159.5,14.5,NA,2,9,11,10.2,0
10,"5",9,"Sunday",0,0,206.25,41.25,37.1875,0,5,5,11.4,0
10,"5",17,"Monday",0,0,86.4333333333333,43.2166666666667,15.465,0,2,2,17.9,0.2
10,"5",22,"Saturday",1,0,411.783333333333,25.7364583333333,NA,5,11,16,23.6,0.3
10,"6",7,"Monday",0,0,50.4333333333333,16.8111111111111,11.315,1,1,3,27.6,0
10,"7",10,"Saturday",0,0,65.1166666666667,21.7055555555556,13.5175,0,2,3,19,0
10,"7",24,"Saturday",0,0,227.966666666667,22.7966666666667,46.695,2,4,10,21.9,0.6
10,"7",28,"Wednesday",1,0,306.866666666667,16.1508771929825,NA,4,13,19,19.2,0
10,"8",10,"Tuesday",1,0,470.283333333333,26.1268518518519,NA,3,7,18,26.5,10.4
10,"8",14,"Saturday",1,0,494.75,24.7375,NA,1,12,20,20.9,0.2
10,"8",17,"Tuesday",1,0,222.316666666667,13.0774509803922,NA,6,8,17,21.2,0
10,"8",18,"Wednesday",1,0,116.3,14.5375,NA,2,6,8,25.4,0
10,"9",21,"Tuesday",0,0,31.4833333333333,10.4944444444444,8.4725,2,1,3,20.2,0
10,"9",22,"Wednesday",0,0,39.0666666666667,9.76666666666667,10.86,2,1,4,20.8,0.2
10,"9",27,"Monday",1,0,66.3333333333333,8.29166666666667,NA,4,2,8,13.6,3.1
13,"4",26,"Monday",1,0,122.066666666667,7.62916666666667,NA,0,15,16,4.9,0
13,"5",15,"Saturday",1,0,927.4,18.548,NA,6,40,50,17.7,0.2
13,"5",18,"Tuesday",0,0,204.45,29.2071428571429,39.4175,2,5,7,20,0
13,"6",2,"Wednesday",0,0,219.216666666667,24.3574074074074,44.1325,1,7,9,20.9,0
13,"6",18,"Friday",1,0,314.25,14.2840909090909,NA,6,9,22,21.2,4.8
13,"7",20,"Tuesday",1,0,283.666666666667,10.9102564102564,NA,4,18,26,21.2,9.6
